merchant_name,expense,category,mcc,amount,date
Seven Eleven,Groceries,Convenience Stores,,56.02,2023-05-01
Uptown Rentals,Rent,Housing,,300,2023-04-05
ABC Water,Utilities,Utilities,4832,82.48,2023-05-11
Office Depot,MISC,Department Stores,6014,0,2023-03-24
CVS,Health,Pharmaceuticals,5912,123.33,2023-04-13
Amazon,Health,Health,,167.61,2023-03-24
Target,Clothes,Apparel,5640,240.47,2023-03-16
Tobu Zoo,Entertainment,Fair,,50.51,2023-03-27
Sony,Electronics,Gaming,,979.77,2023-03-29
McDonalds,Food,Bars,,76.71,2023-03-15
Megamart,Groceries,Convenience Stores,5462,142.14,2023-03-02
Aliexpress,Electronics,Mobile Accessories,,197.53,2023-05-10
Disney Land,Entertainment,Tourist Attractions,,83.01,2023-04-10
Aliexpress,Clothes,Men's Clothing,,80.66,2023-04-24
TGI Fridays,Food,Restaurant & Dining,,75.04,2023-03-20
Main Street Condos,Rent,Housing,6513,300,2023-03-06
XYZ Electricity,Utilities,Utilities,,64.08,2023-04-30
Puma,Clothes,Accessories,5605,210.95,2023-03-26
Nintendo,Electronics,Electronics,,1833.68,2023-03-17
Museum of History,Entertainment,Exhibits,,31.31,2023-04-21
Seven Eleven,Groceries,Miscellaneous Food Stores,,33.75,2023-04-02
CVS,Health,Health,,211.37,2023-04-26
ABC Apartments,Rent,Housing,,300,2023-03-26
Yellow Cab,Transportation,Taxi Cabs,,9.94,2023-03-22
Gyomu Supermarket,Groceries,Convenience Stores,,13.64,2023-04-21
Bed Bath & Beyond,MISC,Miscellaneous,,0,2023-03-24
Amazon,Groceries,Miscellaneous Food Stores,5422,47.48,2023-04-10
Ikea,MISC,Miscellaneous,,0,2023-03-03
XYZ Electricity,Utilities,Utilities,,143.06,2023-05-04
Main Street Condos,Rent,Housing,6513,300,2023-03-28
Aliexpress,MISC,Department Stores,,0,2023-03-17
XYZ Housing,Rent,Housing,6513,300,2023-04-20
Amazon,Groceries,Markets,5462,78.66,2023-04-24
Cabbie,Transportation,Public Transportation,,10.51,2023-03-20
Burger King,Food,Bars,,78.51,2023-03-20
MNO Gas,Utilities,Utilities,,146.1,2023-03-13
Amazon,Groceries,Specialty Food Markets,,9.58,2023-05-06
XYZ Housing,Rent,Housing,,300,2023-05-12
Museum of History,Entertainment,Motion Picture Theaters,,77.94,2023-04-03
Target,MISC,Variety Stores,,0,2023-03-16
Sony,Electronics,Electronics,,1609.55,2023-04-09
PQR Internet,Utilities,Utilities,,168.19,2023-03-06
Lyft,Transportation,Taxi Cabs,,16.44,2023-04-02
Museum of History,Entertainment,Motion Picture Theaters,,51.85,2023-04-12
ABC Water,Utilities,Utilities,,123.82,2023-04-19
MNO Gas,Utilities,Utilities,,86.32,2023-03-01
JUTC,Transportation,Public Transportation,,19.13,2023-04-05
Amazon,Clothes,Men's Clothing,,25.84,2023-03-15
Amazon,Clothes,Accessories,5664,124.88,2023-03-15
Uptown Rentals,Rent,Housing,,300,2023-04-30
Gyomu Supermarket,Groceries,Markets,,130.36,2023-05-12
Amazon,Groceries,Miscellaneous Food Stores,,66.96,2023-04-23
Yellow Cab,Transportation,Bus Lines,4794,9.18,2023-03-18
MNO Gas,Utilities,Utilities,,167.69,2023-04-13
McDonalds,Food,Fast Food Restaurants,,127.47,2023-05-04
Walmart,MISC,Wholesale Clubs,,0,2023-05-07
City Bus,Transportation,Public Transportation,,7.5,2023-05-01
Juicy,Food,Dining,,92.44,2023-04-09
Amazon,Health,Pharmaceuticals,,421.55,2023-03-21
Samsung,Electronics,Mobile Accessories,,1952.61,2023-03-17
ABC Water,Utilities,Utilities,,96.03,2023-03-03
Uber,Transportation,Bus Lines,4275,16.8,2023-05-11
XYZ Housing,Rent,Housing,6513,300,2023-04-17
Amazon,Clothes,Apparel,,48.94,2023-05-02
Sony,Electronics,Mobile Accessories,,939.21,2023-05-08
Gap,Clothes,Apparel,,286.48,2023-03-29
Adidas,Clothes,Commercial Footwear,,152.99,2023-05-11
Macy's,Clothes,Commercial Footwear,,207.54,2023-04-10
Amazon,Groceries,Convenience Stores,,47.91,2023-03-18
Aliexpress,Clothes,Men's Clothing,,113.6,2023-04-03
Uber,Transportation,Local Transit,,18.64,2023-03-21
Walmart,Health,Drug Stores,,170.61,2023-03-18
Target,Groceries,Supermarkets,,84.25,2023-03-31
Walmart,Health,Pharmaceuticals,,147.86,2023-03-07
Trader joe's,Groceries,Miscellaneous Food Stores,5441,17.65,2023-05-07
ABC Water,Utilities,Utilities,,60.81,2023-03-21
Costco,MISC,Variety Stores,,0,2023-03-22
Subway,Food,Meals,,138.11,2023-04-29
Costco,MISC,Department Stores,6252,0,2023-03-17
Aliexpress,MISC,Department Stores,,0,2023-05-09
Yellow Cab,Transportation,Taxi Cabs,,6.81,2023-03-29
Juicy,Food,Bars,,100.87,2023-05-04
Aliexpress,Clothes,Commercial Footwear,5603,193.49,2023-04-15
ABC Apartments,Rent,Housing,6513,300,2023-04-08
Tobu Zoo,Entertainment,Carnival,,35.85,2023-05-13
XYZ Electricity,Utilities,Utilities,4913,93.93,2023-04-18
Ikea,MISC,Stationery Goods,,0,2023-04-04
Hilo,Groceries,Supermarkets,,51.98,2023-03-09
MNO Gas,Utilities,Utilities,,165.3,2023-04-29
XYZ Electricity,Utilities,Utilities,,72.59,2023-03-17
City Bus,Transportation,Taxi Cabs,,14.33,2023-05-11
Mo's Motel,MISC,Stationery Goods,,0,2023-05-15
XYZ Housing,Rent,Housing,,300,2023-03-23
Walmart,Health,Health,,459.85,2023-04-13
Lyft,Transportation,Bus Lines,4751,18.83,2023-03-07
Walmart,MISC,Miscellaneous,,0,2023-03-25
Lyft,Transportation,Local Transit,,18.09,2023-05-13
Target,Food,Restaurant & Dining,,86.46,2023-03-02
Yellow Cab,Transportation,Taxi Cabs,,19.86,2023-04-05
Target,Food,Bars,,149.9,2023-03-23
Main Street Condos,Rent,Housing,,300,2023-03-23
Burger King,Food,Dining,5814,112.21,2023-03-20
Family Mart,Groceries,Specialty Food Markets,,81.67,2023-03-01
ABC Water,Utilities,Utilities,,80.26,2023-03-10
Amazon,Health,Drug Stores,,345.23,2023-04-22
Walmart,Clothes,Accessories,5676,190.03,2023-03-15
Museum of History,Entertainment,Theaters,,99.53,2023-04-23
Amazon,Health,Health,5912,221.11,2023-05-02
Aliexpress,MISC,Miscellaneous,,0,2023-04-16
Main Street Condos,Rent,Housing,,300,2023-04-06
Tasty's,Food,Dining,,44.38,2023-03-18
Walmart,Groceries,Markets,,101.65,2023-04-06
Lyft,Transportation,Local Transit,4663,19.69,2023-04-17
Juicy,Food,Fast Food Restaurants,,96.17,2023-05-07
Burger King,Food,Restaurant & Dining,,43.97,2023-04-04
Starbucks,Food,Restaurant & Dining,,88.92,2023-04-10
XYZ Electricity,Utilities,Utilities,,106.9,2023-04-17
TGI Fridays,Food,Fast Food Restaurants,5814,17.76,2023-03-12
Tasty's,Food,Meals,,80.05,2023-04-08
TGI Fridays,Food,Fast Food Restaurants,,78.86,2023-03-19
Office Depot,MISC,Wholesale Clubs,,0,2023-04-20
Dollar General,Groceries,Specialty Food Markets,,64.64,2023-04-12
Aliexpress,MISC,Wholesale Clubs,,0,2023-04-04
CVS,Health,Pharmaceuticals,5912,197.41,2023-04-10
Home Depot,MISC,Stationery Goods,,0,2023-05-07
Cabbie,Transportation,Taxi Cabs,,16.36,2023-04-03
XYZ Electricity,Utilities,Utilities,,69.34,2023-04-18
Uptown Rentals,Rent,Housing,,300,2023-05-15
Target,Food,Dining,,132.34,2023-03-21
KFC,Food,Bars,,31.57,2023-04-15
Target,Electronics,Electronics,,1442.25,2023-04-26
Six Flags,Entertainment,Motion Pictures,,72.28,2023-03-14
PQR Internet,Utilities,Utilities,4919,191.82,2023-04-18
Samsung,Electronics,Computer Software Stores,5730,949.33,2023-03-25
eBay,MISC,Stationery Goods,,0,2023-04-12
Office Depot,MISC,Wholesale Clubs,,0,2023-04-25
XYZ Housing,Rent,Housing,,300,2023-04-15
Lyft,Transportation,Taxi Cabs,,13.37,2023-04-28
Disney Land,Entertainment,Theaters,7996,39.26,2023-04-30
Uptown Rentals,Rent,Housing,,300,2023-03-15
Yellow Cab,Transportation,Local Transit,,16.73,2023-04-29
MNO Gas,Utilities,Utilities,4940,79.17,2023-05-03
Yellow Cab,Transportation,Taxi Cabs,,18.99,2023-03-20
Donquiote,Clothes,Clothing & Shoes,,253.79,2023-03-27
City Park,Entertainment,Motion Picture Theaters,7991,117.21,2023-03-08
Amazon,Electronics,Computer Software Stores,,876.03,2023-03-16
Target,MISC,Department Stores,,0,2023-04-14
KFC,Food,Dining,,72.47,2023-04-27
ABC Water,Utilities,Utilities,,87.3,2023-05-03
Lyft,Transportation,Public Transportation,,10.06,2023-03-09
Museum of History,Entertainment,Motion Picture Theaters,,57.56,2023-05-05
Main Street Condos,Rent,Housing,,300,2023-03-24
Uber,Transportation,Bus Lines,,7.71,2023-04-04
Yellow Cab,Transportation,Taxi Cabs,,15.46,2023-03-19
Juicy,Food,Meals,,74.94,2023-03-24
Amazon,Health,Pharmaceuticals,5912,277.22,2023-03-02
XYZ Housing,Rent,Housing,,300,2023-03-24
Sega,Electronics,Computer Software Stores,5730,1547.14,2023-05-08
Amazon,MISC,Variety Stores,,0,2023-03-23
City Bus,Transportation,Local Transit,,7.19,2023-04-26
Amazon,Health,Pharmaceuticals,,173.21,2023-03-17
City Park,Entertainment,Tourist Attractions,,74.57,2023-03-09
Walmart,Health,Health,,117.05,2023-05-02
Adidas,Clothes,Commercial Footwear,5629,21.7,2023-04-08
Walmart,Health,Health,5912,75.18,2023-04-14
Walmart,Health,Drug Stores,,59.25,2023-04-07
Walmart,Health,Pharmaceuticals,,378.37,2023-03-25
Amazon,Groceries,Convenience Stores,,21.92,2023-03-06
Walmart,Health,Pharmaceuticals,5912,279.19,2023-04-14
City Park,Entertainment,Carnival,,10.32,2023-04-03
Walmart,Food,Restaurant & Dining,,29.25,2023-04-03
Megamart,Groceries,Markets,,20.84,2023-05-01
Tobu Aquarium,Entertainment,Theaters,,24.73,2023-05-05
Yellow Cab,Transportation,Local Transit,,9.54,2023-04-17
Target,Clothes,Apparel,,277.45,2023-05-07
Nintendo,Electronics,Electronics,,1844.86,2023-05-04
Uber,Transportation,Local Transit,,9.96,2023-03-22
Target,Groceries,Convenience Stores,,57.9,2023-05-10
Walmart,Food,Fast Food Restaurants,,29.23,2023-05-02
JUTC,Transportation,Public Transportation,,14.94,2023-04-03
Six Flags,Entertainment,Carnival,,26.1,2023-03-22
Adidas,Clothes,Clothing & Shoes,5681,233.6,2023-05-06
Amazon,Health,Pharmaceuticals,5912,46.68,2023-03-04
Disney Land,Entertainment,Motion Pictures,,76.43,2023-03-06
Uber,Transportation,Bus Lines,,16.65,2023-03-16
Tobu Zoo,Entertainment,Motion Pictures,,94.89,2023-03-11
Uptown Rentals,Rent,Housing,,300,2023-04-15
H&M,Clothes,Apparel,5689,149.01,2023-04-11
Aliexpress,MISC,Department Stores,,0,2023-04-12
Subway,Food,Bars,,76.79,2023-04-07
Hilo,Groceries,Convenience Stores,,18.2,2023-03-24
Zara,Clothes,Clothing & Shoes,,283.83,2023-04-02
PQR Internet,Utilities,Utilities,,144.05,2023-05-09
JUTC,Transportation,Bus Lines,4736,14.27,2023-03-19
Tobu Zoo,Entertainment,Exhibits,7996,77.05,2023-03-31
PQR Internet,Utilities,Utilities,,78.97,2023-03-24
Starbucks,Food,Dining,5814,41.25,2023-03-17
Amazon,MISC,Variety Stores,,0,2023-03-03
Aliexpress,MISC,Stationery Goods,,0,2023-03-03
PQR Internet,Utilities,Utilities,,190.76,2023-03-14
Target,MISC,Stationery Goods,,0,2023-05-14
Nintendo,Electronics,Computer Software Stores,,886.36,2023-03-28
Costco,MISC,Wholesale Clubs,6052,0,2023-04-26
Samsung,Electronics,Electronics,,1175.28,2023-03-04
Museum of History,Entertainment,Tourist Attractions,,66.05,2023-04-12
Macy's,Clothes,Accessories,,245.04,2023-04-07
eBay,MISC,Stationery Goods,7114,0,2023-04-22
City Bus,Transportation,Bus Lines,4611,11.07,2023-03-22
Walmart,Food,Fast Food Restaurants,5813,30.31,2023-05-15
Six Flags,Entertainment,Exhibits,7996,61.38,2023-04-13
PQR Internet,Utilities,Utilities,4811,153.06,2023-04-10
Gap,Clothes,Clothing & Shoes,,23.28,2023-04-20
Walmart,Health,Drug Stores,,253.3,2023-03-03
Tobu Zoo,Entertainment,Exhibits,7998,95.37,2023-03-18
Samsung,Electronics,Computer Software Stores,,376.51,2023-03-04
TGI Fridays,Food,Bars,,143.67,2023-04-24
Nike,Clothes,Commercial Footwear,,234.83,2023-03-14
Best Buy,Electronics,Gaming,,1936.29,2023-04-13
MNO Gas,Utilities,Utilities,,114.12,2023-03-17
Amazon,Health,Health,,369.01,2023-05-09
Gyomu Supermarket,Groceries,Convenience Stores,,28.46,2023-03-31
McDonalds,Food,Bars,5812,5.74,2023-04-19
Uptown Rentals,Rent,Housing,,300,2023-05-14
Nike,Clothes,Clothing & Shoes,,58.61,2023-03-24
Amazon,Clothes,Commercial Footwear,,204.88,2023-03-22
Megamart,Groceries,Miscellaneous Food Stores,,113.92,2023-04-22
Nintendo,Electronics,Gaming,,1432.43,2023-03-06
Walmart,Health,Pharmaceuticals,,473.04,2023-03-23
Uber,Transportation,Local Transit,4726,14.24,2023-03-28
Uber,Transportation,Taxi Cabs,,15.73,2023-05-15
Amazon,Clothes,Commercial Footwear,,274.33,2023-04-05
ABC Apartments,Rent,Housing,,300,2023-04-18
XYZ Electricity,Utilities,Utilities,,77.52,2023-04-28
Main Street Condos,Rent,Housing,,300,2023-04-07
ABC Water,Utilities,Utilities,,114.79,2023-04-15
Hilo,Groceries,Convenience Stores,,120.81,2023-04-10
Lyft,Transportation,Taxi Cabs,,13.57,2023-03-31
Uptown Rentals,Rent,Housing,6513,300,2023-04-16
Samsung,Electronics,Gaming,,1856.7,2023-04-11
MNO Gas,Utilities,Utilities,,164.71,2023-03-18
Gap,Clothes,Men's Clothing,,27.46,2023-03-26
Target,Clothes,Commercial Footwear,5664,36.59,2023-04-30
Aliexpress,MISC,Miscellaneous,6886,0,2023-04-11
Uptown Rentals,Rent,Housing,,300,2023-05-09
Cabbie,Transportation,Taxi Cabs,,7.02,2023-03-25
GU,Clothes,Apparel,,265.5,2023-04-19
MNO Gas,Utilities,Utilities,,197.95,2023-04-02
Walmart,Health,Drug Stores,,9.93,2023-03-13
City Hospital,MISC,Wholesale Clubs,,0,2023-03-13
Target,Groceries,Markets,,73.0,2023-04-28
City Hospital,MISC,Stationery Goods,,0,2023-05-11
Lyft,Transportation,Local Transit,,13.17,2023-05-15
Uptown Rentals,Rent,Housing,,300,2023-03-18
Tobu Zoo,Entertainment,Exhibits,7832,89.99,2023-04-16
ABC Water,Utilities,Utilities,,90.13,2023-04-01
Trader joe's,Groceries,Specialty Food Markets,,42.02,2023-05-05
AMC Theaters,Entertainment,Theaters,,52.35,2023-03-04
Trader joe's,Groceries,Convenience Stores,,20.93,2023-03-15
Yellow Cab,Transportation,Local Transit,4181,5.71,2023-05-07
Tobu Aquarium,Entertainment,Motion Pictures,,61.86,2023-03-04
XYZ Housing,Rent,Housing,6513,300,2023-04-10
Dollar General,Groceries,Specialty Food Markets,,73.13,2023-04-06
Walmart,Health,Drug Stores,,485.42,2023-05-15
ABC Water,Utilities,Utilities,4999,53.33,2023-05-08
Bed Bath & Beyond,MISC,Variety Stores,,0,2023-03-05
Six Flags,Entertainment,Motion Pictures,,39.43,2023-04-22
Aliexpress,Clothes,Men's Clothing,,245.59,2023-05-15
Bed Bath & Beyond,MISC,Stationery Goods,,0,2023-03-23
MNO Gas,Utilities,Utilities,,131.82,2023-04-30
ABC Water,Utilities,Utilities,,107.92,2023-05-10
Subway,Food,Restaurant & Dining,5814,56.74,2023-04-19
City Bus,Transportation,Local Transit,4792,8.83,2023-03-23
CVS,Health,Pharmaceuticals,,228.9,2023-04-20
Six Flags,Entertainment,Tourist Attractions,,79.07,2023-04-03
Uptown Rentals,Rent,Housing,,300,2023-03-23
Samsung,Electronics,Electronics,,1324.0,2023-04-25
MNO Gas,Utilities,Utilities,,90.96,2023-04-20
Tasty's,Food,Restaurant & Dining,,81.03,2023-03-25
ABC Apartments,Rent,Housing,,300,2023-03-06
Museum of History,Entertainment,Fair,,56.91,2023-03-18
Nintendo,Electronics,Mobile Accessories,,1636.68,2023-03-30
Amazon,Health,Drug Stores,,161.93,2023-03-04
Trader joe's,Groceries,Markets,,98.39,2023-03-27
Tobu Aquarium,Entertainment,Motion Picture Theaters,,101.78,2023-04-16
Burger King,Food,Meals,,127.3,2023-03-13
Costco,MISC,Wholesale Clubs,,0,2023-04-27
Apple Store,Electronics,Mobile Accessories,,530.94,2023-04-18
Holiday Inn,MISC,Variety Stores,6238,0,2023-04-12
Yellow Cab,Transportation,Bus Lines,,16.37,2023-05-13
H&M,Clothes,Accessories,,104.96,2023-04-06
Tasty's,Food,Bars,,47.09,2023-03-11
Holiday Inn,MISC,Miscellaneous,,0,2023-03-21
Carib,Entertainment,Exhibits,7996,44.73,2023-03-11
Yellow Cab,Transportation,Local Transit,,18.33,2023-04-12
MNO Gas,Utilities,Utilities,,125.44,2023-03-30
Starbucks,Food,Restaurant & Dining,,144.42,2023-05-01
Family Mart,Groceries,Convenience Stores,,77.29,2023-04-06
MNO Gas,Utilities,Utilities,,95.49,2023-03-18
Dentist,MISC,Stationery Goods,,0,2023-04-02
JUTC,Transportation,Bus Lines,4612,13.55,2023-04-14
GU,Clothes,Clothing & Shoes,5620,162.75,2023-03-13
Main Street Condos,Rent,Housing,,300,2023-03-29
Gyomu Supermarket,Groceries,Supermarkets,,132.69,2023-03-06
Lyft,Transportation,Local Transit,,5.71,2023-03-01
Family Mart,Groceries,Convenience Stores,,21.15,2023-05-10
Cabbie,Transportation,Bus Lines,,6.12,2023-05-05
Uniqlo,Clothes,Clothing & Shoes,,159.7,2023-04-13
Megamart,Groceries,Specialty Food Markets,,120.94,2023-05-13
XYZ Electricity,Utilities,Utilities,,175.68,2023-05-03
Macy's,Clothes,Accessories,,240.25,2023-04-05
AMC Theaters,Entertainment,Theaters,7832,54.01,2023-03-03
Target,Groceries,Convenience Stores,,33.42,2023-04-23
Six Flags,Entertainment,Tourist Attractions,,23.03,2023-03-19
Subway,Food,Restaurant & Dining,,120.02,2023-03-31
Hilo,Groceries,Markets,5499,141.18,2023-04-16
ABC Apartments,Rent,Housing,,300,2023-03-10
Aliexpress,MISC,Variety Stores,6382,0,2023-04-04
Puma,Clothes,Commercial Footwear,,282.04,2023-03-03
City Bus,Transportation,Taxi Cabs,,18.36,2023-04-22
Museum of History,Entertainment,Theaters,,71.78,2023-04-10
Walmart,Health,Pharmaceuticals,,460.65,2023-03-15
Nintendo,Electronics,Gaming,,1997.79,2023-04-01
Subway,Food,Fast Food Restaurants,,55.07,2023-03-08
JUTC,Transportation,Local Transit,,17.04,2023-03-23
Uber,Transportation,Taxi Cabs,4401,8.35,2023-05-08
AMC Theaters,Entertainment,Tourist Attractions,,101.28,2023-03-23
CVS,Health,Health,5912,485.61,2023-05-02
Walmart,Clothes,Commercial Footwear,,87.24,2023-04-05
Amazon,Health,Drug Stores,,420.27,2023-05-05
ABC Apartments,Rent,Housing,,300,2023-05-02
JUTC,Transportation,Bus Lines,,19.77,2023-04-14
PQR Internet,Utilities,Utilities,,72.34,2023-03-26
Puma,Clothes,Accessories,5640,130.51,2023-03-03
Mo's Motel,MISC,Wholesale Clubs,6069,0,2023-05-15
Yellow Cab,Transportation,Local Transit,,7.82,2023-03-22
JUTC,Transportation,Public Transportation,4006,11.27,2023-05-01
Aliexpress,MISC,Department Stores,,0,2023-05-11
Starbucks,Food,Restaurant & Dining,,129.95,2023-03-09
Yellow Cab,Transportation,Local Transit,,7.86,2023-03-08
City Bus,Transportation,Public Transportation,4224,14.73,2023-04-11
Target,Food,Fast Food Restaurants,5812,39.28,2023-03-12
Seven Eleven,Groceries,Specialty Food Markets,,134.83,2023-03-18
XYZ Housing,Rent,Housing,,300,2023-03-12
MNO Gas,Utilities,Utilities,,95.27,2023-03-10
Target,Clothes,Clothing & Shoes,,84.47,2023-05-02
Amazon,Health,Health,,91.29,2023-04-27
Home Depot,MISC,Stationery Goods,,0,2023-03-01
Mo's Motel,MISC,Department Stores,,0,2023-03-03
Target,Clothes,Apparel,,291.71,2023-04-02
Cabbie,Transportation,Bus Lines,,6.41,2023-04-24
Sony,Electronics,Computer Software Stores,,1461.98,2023-05-13
Main Street Condos,Rent,Housing,,300,2023-04-19
Holiday Inn,MISC,Stationery Goods,,0,2023-03-07
Regal Cinemas,Entertainment,Tourist Attractions,,25.63,2023-03-13
Walmart,Health,Pharmaceuticals,,399.73,2023-03-19
Museum of History,Entertainment,Exhibits,,19.42,2023-03-28
City Park,Entertainment,Motion Pictures,,91.91,2023-05-07
GU,Clothes,Clothing & Shoes,,229.06,2023-03-19
Lyft,Transportation,Taxi Cabs,,6.81,2023-04-12
Target,Groceries,Specialty Food Markets,,32.61,2023-05-07
Aliexpress,Clothes,Men's Clothing,,21.19,2023-03-29
MNO Gas,Utilities,Utilities,,152.08,2023-05-06
Amazon,Health,Health,,185.26,2023-04-23
Tasty's,Food,Dining,,18.47,2023-05-12
Tobu Zoo,Entertainment,Amusement/Theme Parks,,22.9,2023-04-11
Office Depot,MISC,Department Stores,,0,2023-05-04
Gyomu Supermarket,Groceries,Convenience Stores,,86.63,2023-04-09
Six Flags,Entertainment,Exhibits,,18.45,2023-03-28
Walmart,Groceries,Supermarkets,,24.96,2023-04-19
XYZ Electricity,Utilities,Utilities,,104.98,2023-03-22
Museum of History,Entertainment,Theaters,,91.61,2023-04-05
Uptown Rentals,Rent,Housing,,300,2023-03-24
Yellow Cab,Transportation,Public Transportation,,5.11,2023-05-01
Costco,MISC,Variety Stores,,0,2023-03-10
Amazon,Clothes,Clothing & Shoes,,215.8,2023-05-09
XYZ Electricity,Utilities,Utilities,,193.37,2023-05-13
Zara,Clothes,Men's Clothing,,264.47,2023-04-28
Walmart,Health,Pharmaceuticals,,208.9,2023-03-11
Starbucks,Food,Meals,,113.99,2023-03-10
Museum of History,Entertainment,Motion Picture Theaters,7998,79.42,2023-05-04
H&M,Clothes,Clothing & Shoes,,84.74,2023-03-13
Family Mart,Groceries,Convenience Stores,,10.57,2023-04-18
Walmart,MISC,Miscellaneous,,0,2023-04-21
ABC Water,Utilities,Utilities,4915,144.63,2023-03-17
Uptown Rentals,Rent,Housing,,300,2023-04-13
XYZ Housing,Rent,Housing,,300,2023-04-26
Aliexpress,Clothes,Apparel,,242.45,2023-04-09
Mo's Motel,MISC,Department Stores,,0,2023-04-09
Cabbie,Transportation,Public Transportation,,11.91,2023-03-11
Six Flags,Entertainment,Theaters,7996,17.86,2023-05-03
Amazon,Clothes,Commercial Footwear,,194.41,2023-04-21
Regal Cinemas,Entertainment,Tourist Attractions,,66.14,2023-05-04
Dollar General,Groceries,Markets,,69.41,2023-05-01
Walmart,Health,Health,,256.57,2023-03-25
XYZ Housing,Rent,Housing,,300,2023-03-13
Target,Clothes,Men's Clothing,,245.76,2023-04-15
Disney Land,Entertainment,Amusement/Theme Parks,,78.87,2023-03-10
Lyft,Transportation,Bus Lines,4711,12.49,2023-05-06
XYZ Electricity,Utilities,Utilities,,164.43,2023-04-20
Amazon,Health,Drug Stores,,255.03,2023-04-27
CVS,Health,Health,5912,189.86,2023-03-15
Yellow Cab,Transportation,Taxi Cabs,,12.35,2023-04-07
XYZ Electricity,Utilities,Utilities,4923,81.48,2023-03-14
AMC Theaters,Entertainment,Motion Pictures,,90.89,2023-03-13
CVS,Health,Health,,85.73,2023-03-17
Walmart,Clothes,Apparel,,43.97,2023-03-17
ABC Water,Utilities,Utilities,,180.35,2023-04-27
Megamart,Groceries,Convenience Stores,,26.14,2023-04-21
Disney Land,Entertainment,Tourist Attractions,,87.67,2023-03-09
XYZ Electricity,Utilities,Utilities,,70.51,2023-05-04
ABC Water,Utilities,Utilities,,71.24,2023-05-13
Target,Groceries,Supermarkets,,96.91,2023-03-18
MNO Gas,Utilities,Utilities,,198.45,2023-04-29
Regal Cinemas,Entertainment,Theaters,,103.61,2023-04-09
XYZ Electricity,Utilities,Utilities,,108.44,2023-03-09
Aliexpress,Clothes,Men's Clothing,,159.53,2023-04-21
ABC Apartments,Rent,Housing,6513,300,2023-03-04
CVS,Health,Health,,213.88,2023-03-12
Amazon,Groceries,Convenience Stores,,127.38,2023-04-22
Tobu Aquarium,Entertainment,Motion Pictures,,117.33,2023-03-07
Target,Food,Restaurant & Dining,,70.26,2023-05-12
Home Depot,MISC,Department Stores,,0,2023-03-02
Sega,Electronics,Computer Software Stores,5724,1143.67,2023-05-10
XYZ Electricity,Utilities,Utilities,,61.07,2023-03-07
MNO Gas,Utilities,Utilities,,131.3,2023-05-13
JUTC,Transportation,Public Transportation,,17.73,2023-05-14
Target,Food,Bars,,15.33,2023-04-20
Six Flags,Entertainment,Carnival,7996,57.57,2023-05-07
Juicy,Food,Dining,,106.58,2023-04-03
Walmart,Groceries,Convenience Stores,,99.38,2023-04-26
PQR Internet,Utilities,Utilities,,163.99,2023-04-21
City Bus,Transportation,Local Transit,,11.67,2023-04-08
City Hospital,MISC,Stationery Goods,,0,2023-05-07
AMC Theaters,Entertainment,Tourist Attractions,,94.29,2023-05-03
Sony,Electronics,Gaming,,1650.2,2023-04-09
Panasonic,Electronics,Electronics,,460.34,2023-03-29
Main Street Condos,Rent,Housing,,300,2023-03-21
Amazon,Electronics,Computer Software Stores,,180.16,2023-03-01
Carib,Entertainment,Motion Picture Theaters,,25.08,2023-05-09
ABC Water,Utilities,Utilities,4815,52.64,2023-05-08
Main Street Condos,Rent,Housing,6513,300,2023-04-03
GU,Clothes,Clothing & Shoes,,199.3,2023-05-10
XYZ Electricity,Utilities,Utilities,4833,199.17,2023-05-07
Museum of History,Entertainment,Carnival,,85.96,2023-03-09
City Bus,Transportation,Public Transportation,,13.1,2023-04-29
Aliexpress,Electronics,Electronics,,1891.59,2023-04-23
Lyft,Transportation,Public Transportation,,11.23,2023-04-24
PQR Internet,Utilities,Utilities,,146.55,2023-03-15
Yellow Cab,Transportation,Bus Lines,,10.39,2023-03-12
Hilo,Groceries,Miscellaneous Food Stores,,59.5,2023-05-06
Sony,Electronics,Mobile Accessories,,1394.37,2023-03-06
Target,Groceries,Supermarkets,,19.0,2023-03-26
Best Buy,Electronics,Gaming,,97.01,2023-05-13
Amazon,Health,Drug Stores,,49.58,2023-04-28
Uptown Rentals,Rent,Housing,,300,2023-04-26
Lyft,Transportation,Public Transportation,,11.05,2023-03-03
Burger King,Food,Fast Food Restaurants,,9.93,2023-05-10
Tobu Aquarium,Entertainment,Motion Pictures,,37.72,2023-03-31
ABC Water,Utilities,Utilities,,113.63,2023-04-02
Target,Groceries,Markets,,54.17,2023-03-26
Amazon,MISC,Department Stores,,0,2023-04-11
JUTC,Transportation,Bus Lines,,17.33,2023-05-10
Target,Groceries,Supermarkets,5411,69.21,2023-05-10
Yellow Cab,Transportation,Taxi Cabs,4114,19.54,2023-04-13
Starbucks,Food,Bars,5812,104.87,2023-03-16
eBay,MISC,Variety Stores,,0,2023-04-04
Puma,Clothes,Commercial Footwear,,234.76,2023-04-17
Regal Cinemas,Entertainment,Fair,,102.88,2023-05-06
CVS,Health,Pharmaceuticals,,25.99,2023-04-17
Trader joe's,Groceries,Miscellaneous Food Stores,,58.07,2023-03-08
ABC Water,Utilities,Utilities,,195.74,2023-04-30
City Bus,Transportation,Taxi Cabs,,9.8,2023-04-06
Adidas,Clothes,Men's Clothing,5645,52.54,2023-04-03
